name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00C,0,,,,,,,,,,,,
00D,0,,,,,,,,,,,,
00J,0,,,,,,,,,,,,
00K,0,,,,,,,,,,,,
00L,0,,,,,,,,,,,,
00M,1,27.0,27.0,27.0,27.0,27.0,-190.84824923221802,-0.0030784379860494602,0.529411764705882,62186.0062147601,55697.1657408647,6488.8404738954105,0.10434566985192999
00N,1,30.0,30.0,30.0,30.0,30.0,-311.326666360093,-0.00607668766561471,0.516129032258065,51544.281771450194,41893.1551142873,9651.126657162891,0.18723952154298001
00P,0,,,,,,,,,,,,
00Q,0,,,,,,,,,,,,
00R,0,,,,,,,,,,,,
00T,1,27.0,27.0,27.0,27.0,27.0,-211.374535325947,-0.00440728188453892,0.529411764705882,48171.6686266716,40984.9344255894,7186.734201082191,0.149190061419277
00V,0,,,,,,,,,,,,
00X,1,27.0,27.0,27.0,27.0,27.0,-140.44532732035,-0.0034758728949466897,0.529411764705882,40546.2172197658,35771.0760908739,4775.1411288919,0.117770323752029
00Y,0,,,,,,,,,,,,
01A,1,15.0,15.0,15.0,15.0,15.0,-124.986493638862,-0.00279084013331018,0.5217391304347829,44909.527229985804,39160.1485225981,5749.37870738764,0.12802135898569
01C,1,24.0,24.0,24.0,24.0,24.0,-213.910323682178,-0.00603568095490828,0.5135135135135129,35654.8697249944,27740.1877487538,7914.681976240591,0.22198039250420604
01D,1,33.0,33.0,33.0,33.0,33.0,-549.755150718466,-0.00924969593660367,0.535714285714286,59984.6981462962,44591.5539261792,15393.1442201171,0.256617849148375
01E,0,,,,,,,,,,,,
01F,0,,,,,,,,,,,,
01G,1,15.0,15.0,15.0,15.0,15.0,-199.73090751323997,-0.00402509048380187,0.5217391304347829,49821.2011122241,40633.5793666151,9187.62174560902,0.184411887720522
01H,1,39.0,39.0,39.0,39.0,39.0,-274.00594033067995,-0.006574513267360829,0.545454545454545,41950.9984701021,35922.867782827205,6028.130687274971,0.143694570024862
01J,0,,,,,,,,,,,,
01K,1,36.0,36.0,36.0,36.0,36.0,-254.37662057588798,-0.00612456755320966,0.52,41788.1858839872,35428.77036959,6359.41551439719,0.152182139039303
01R,1,33.0,33.0,33.0,33.0,33.0,-311.678628063187,-0.00654226326127457,0.535714285714286,47952.4744224021,39225.4728366328,8727.001585769242,0.18199272698412103
01T,0,,,,,,,,,,,,
01V,0,,,,,,,,,,,,
01W,0,,,,,,,,,,,,
01X,0,,,,,,,,,,,,
01Y,1,33.0,33.0,33.0,33.0,33.0,-203.445057881385,-0.00395587483246533,0.535714285714286,51632.03329625,45935.5716755713,5696.46162067878,0.11032805134738902
02A,1,32.0,32.0,32.0,32.0,32.0,-169.999040306139,-0.00449347389021159,0.517241379310345,38002.4299077599,33072.4577388819,4929.97216887802,0.12972781426988
02D,1,12.0,12.0,12.0,12.0,12.0,-315.528026474152,-0.00626675804790869,0.510204081632653,50665.0108151784,35204.1375179449,15460.8732972335,0.305158788056582
02E,0,,,,,,,,,,,,
02F,0,,,,,,,,,,,,
02G,0,,,,,,,,,,,,
02H,0,,,,,,,,,,,,
02M,0,,,,,,,,,,,,
02N,1,10.0,10.0,10.0,10.0,10.0,-156.94827127386003,-0.00416303956095708,0.509803921568627,37857.3517807178,29852.9899457509,8004.36183496687,0.21143480614626103
02P,0,,,,,,,,,,,,
02Q,1,27.0,27.0,27.0,27.0,27.0,-206.495460594851,-0.0041418146326505,0.529411764705882,50062.773181721794,43041.9275214969,7020.845660224929,0.14024084592238
02R,1,27.0,27.0,27.0,27.0,27.0,-207.59716350968898,-0.005006455398918829,0.529411764705882,41673.494084217404,34615.1905248879,7058.30355932942,0.16937153253973403
02T,0,,,,,,,,,,,,
02W,1,18.0,18.0,18.0,18.0,18.0,-81.97860471155579,-0.00403618309433404,0.511627906976744,20392.9017703719,16867.821767775,3525.0800025969,0.172858185769245
02X,1,27.0,27.0,27.0,27.0,27.0,-274.88738806626,-0.00472900951399744,0.529411764705882,58402.7865290213,49056.615334768496,9346.171194252858,0.16002954224810098
02Y,0,,,,,,,,,,,,
03A,1,26.0,26.0,26.0,26.0,26.0,-87.0856678216955,-0.00258682058412658,0.5142857142857139,33752.2220735223,30704.2236997629,3047.9983737593398,0.0903051173081258
03D,1,15.0,15.0,15.0,15.0,15.0,-194.088021479599,-0.0040560938083671,0.521739130434782,48045.057611784694,39117.0086237231,8928.04898806154,0.185826585123537
03E,0,,,,,,,,,,,,
03F,0,,,,,,,,,,,,
03H,0,,,,,,,,,,,,
03J,0,,,,,,,,,,,,
03K,0,,,,,,,,,,,,
03L,0,,,,,,,,,,,,
03M,0,,,,,,,,,,,,
03N,1,26.0,26.0,26.0,26.0,26.0,-128.770335605476,-0.00400345308073394,0.5142857142857139,32293.5873095236,27786.625563332003,4506.9617461916605,0.139562127396807
03Q,0,,,,,,,,,,,,
03R,0,,,,,,,,,,,,
03T,0,,,,,,,,,,,,
03V,0,,,,,,,,,,,,
03W,0,,,,,,,,,,,,
04C,0,,,,,,,,,,,,
04D,0,,,,,,,,,,,,
04E,0,,,,,,,,,,,,
04F,0,,,,,,,,,,,,
04G,0,,,,,,,,,,,,
04H,0,,,,,,,,,,,,
04K,1,27.0,27.0,27.0,27.0,27.0,-115.37810364855,-0.0034776127357928,0.529411764705882,33292.7651257969,29369.9096017462,3922.85552405069,0.11782906914544802
04L,0,,,,,,,,,,,,
04M,0,,,,,,,,,,,,
04N,0,,,,,,,,,,,,
04Q,0,,,,,,,,,,,,
04V,0,,,,,,,,,,,,
04Y,1,inf,inf,inf,inf,,,,,,48591.2353186991,,
05A,1,27.0,27.0,27.0,27.0,27.0,-91.7508536646027,-0.0028605839127155397,0.529411764705882,32165.9204862219,29046.3914616254,3119.5290245964898,0.0969824266628008
05C,0,,,,,,,,,,,,
05D,0,,,,,,,,,,,,
05F,0,,,,,,,,,,,,
05G,0,,,,,,,,,,,,
05H,0,,,,,,,,,,,,
05J,0,,,,,,,,,,,,
05L,1,15.0,15.0,15.0,15.0,15.0,-71.79896334227759,-0.00238164163555299,0.5217391304347829,30218.6364515972,26915.8841378524,3302.7523137447697,0.109295213205102
05N,0,,,,,,,,,,,,
05Q,0,,,,,,,,,,,,
05R,0,,,,,,,,,,,,
05T,0,,,,,,,,,,,,
05V,0,,,,,,,,,,,,
05W,0,,,,,,,,,,,,
05X,0,,,,,,,,,,,,
05Y,0,,,,,,,,,,,,
06A,0,,,,,,,,,,,,
06D,0,,,,,,,,,,,,
06F,1,15.0,15.0,15.0,15.0,15.0,-62.4926159964929,-0.00211425005582105,0.5217391304347829,29620.3094997825,26745.6491639438,2874.66033583867,0.0970503139361115
06H,1,27.0,27.0,27.0,27.0,27.0,-131.323869598638,-0.0045395934044478396,0.529411764705882,29059.8771338554,24594.8655675017,4465.01156635369,0.15364867324755
06K,1,30.0,30.0,30.0,30.0,30.0,-82.0095547364723,-0.00300961959362932,0.516129032258065,27331.1525727006,24788.856375869902,2542.29619683064,0.0930182578311749
06L,0,,,,,,,,,,,,
06M,1,27.0,27.0,27.0,27.0,27.0,-564.170234292264,-0.00780156951884168,0.529411764705882,72879.1362074505,53697.34824151349,19181.787965937,0.263199990616464
06N,0,,,,,,,,,,,,
06P,1,24.0,24.0,24.0,24.0,24.0,-135.746420214595,-0.00512823349314267,0.5135135135135129,26606.151949937797,21583.5344019978,5022.61754794003,0.188776549024849
06Q,1,27.0,27.0,27.0,27.0,27.0,-132.903851900328,-0.0039047936895142705,0.529411764705882,34168.9791142685,29650.2481496573,4518.73096461115,0.13224658979419698
06T,0,,,,,,,,,,,,
06V,0,,,,,,,,,,,,
06W,0,,,,,,,,,,,,
06Y,1,34.0,34.0,34.0,34.0,34.0,-154.116387612286,-0.00406186603828379,0.5185185185185189,38096.3789240211,33935.2364584894,4161.1424655317205,0.10922671873436199
07G,1,40.0,40.0,40.0,40.0,40.0,-165.136420562436,-0.0056250155925988,0.523809523809524,29522.6409188107,26054.7760869996,3467.8648318111605,0.11746458730938099
07H,1,27.0,27.0,27.0,27.0,27.0,-187.92862895159402,-0.0069427593787141795,0.529411764705882,27256.2193042362,20866.645919882,6389.573384354189,0.234426253804067
07J,0,,,,,,,,,,,,
07K,1,19.0,19.0,19.0,19.0,19.0,-170.73234166654498,-0.00460660360126394,0.523809523809524,37233.2531150408,30062.4947650459,7170.75834999491,0.19259016470677898
07L,1,27.0,27.0,27.0,27.0,27.0,-53.0910196283072,-0.0027927722022918103,0.529411764705882,19063.2414302989,17258.1467629365,1805.0946673624499,0.0946898078148162
07M,1,13.0,13.0,13.0,13.0,13.0,-35.472013460016896,-0.00221703315003239,0.5208333333333329,16035.238845768601,14332.5821996878,1702.6566460808099,0.106182181784596
07N,0,,,,,,,,,,,,
07P,1,38.0,38.0,38.0,38.0,38.0,-50.4429273243262,-0.00503575306011101,0.5217391304347829,10067.401011288499,8907.21368282898,1160.1873284595,0.11524199017786199
07Q,1,6.0,6.0,6.0,6.0,6.0,-49.84386318737061,-0.00270861685060006,0.509090909090909,18451.805431258,15710.3929559526,2741.4124753053798,0.14857150350509
07R,1,26.0,26.0,26.0,26.0,26.0,-70.7788037757076,-0.00580062047777539,0.5142857142857139,12272.7154839793,9795.45735182953,2477.25813214977,0.20185085651040804
07T,1,26.0,26.0,26.0,26.0,26.0,-52.935874085813,-0.00380319733966016,0.5142857142857139,13971.717719506201,12118.9621265028,1852.75559300346,0.132607574115013
07V,1,27.0,27.0,27.0,27.0,27.0,-40.4710290394153,-0.00271270528314169,0.529411764705882,14959.5369854209,13583.521998080801,1376.01498734012,0.0919824583261596
07W,0,,,,,,,,,,,,
07X,1,13.0,13.0,13.0,13.0,13.0,-69.9645950854633,-0.0037763103795095797,0.5208333333333329,18597.200985688898,15238.900421586599,3358.30056410224,0.18058096843103197
07Y,1,26.0,26.0,26.0,26.0,26.0,-59.2803770804216,-0.00475775277205066,0.5142857142857139,12519.0234365902,10444.2102387754,2074.81319781475,0.165732831184784
08A,0,,,,,,,,,,,,
08C,1,27.0,27.0,27.0,27.0,27.0,-142.676870452947,-0.00973703231219547,0.529411764705882,14795.6908359346,9944.677240534442,4851.01359540019,0.32786665044517
08D,1,10.0,10.0,10.0,10.0,10.0,-27.5367401341709,-0.0021666281356286198,0.509803921568628,12737.027437383602,11332.653690540901,1404.37374684272,0.11025914435269502
08E,1,27.0,27.0,27.0,27.0,27.0,-47.9206110293125,-0.0043123888274852395,0.529411764705882,11160.232822740802,9530.9320477442,1629.3007749966198,0.145991647385407
08F,1,14.0,14.0,14.0,14.0,14.0,-141.856927011472,-0.0053049401898024205,0.51063829787234,26882.389701379103,20215.11413184,6667.27556953917,0.248016476347604
08G,3,26.0,26.0,26.0,26.0,26.0,-228.189425435303,-0.0140791133334767,0.53392310332575,16435.8454070605,14298.9325818434,2136.9128252171104,0.130015388456936
08H,1,27.0,27.0,27.0,27.0,27.0,-81.20407639348241,-0.00456614335792478,0.529411764705882,17865.1565343356,15104.2179369572,2760.9385973784,0.154543207727963
08J,1,10.0,10.0,10.0,10.0,10.0,-40.74080889823,-0.00322078585049134,0.509803921568628,12690.078824343998,10612.2975705343,2077.78125380973,0.163732730314001
08K,1,37.0,37.0,37.0,37.0,37.0,-90.15866187108949,-0.00851653087071633,0.5416666666666671,10676.4717087827,8512.663823876508,2163.80788490615,0.20267068971167299
08L,0,,,,,,,,,,,,
08M,0,,,,,,,,,,,,
08N,1,3.0,3.0,3.0,3.0,3.0,-54.2643211665505,-0.0038645277007147705,0.517241379310345,14095.908053339499,10948.5774256796,3147.3306276599296,0.22327973591699696
08P,1,35.0,35.0,35.0,35.0,35.0,-54.2913608961103,-0.005215823198902929,0.538461538461538,10463.2639862584,9051.68860295955,1411.5753832988698,0.134907748208658
08Q,2,26.0,26.0,26.0,26.0,26.0,-635.1245963907679,-0.0525260064287042,0.525813040423063,12726.7462439046,10310.9651674986,2415.78107640599,0.18981922245546698
08R,1,10.0,10.0,10.0,10.0,10.0,-42.3705482627178,-0.00338895856758402,0.509803921568628,12544.898217972099,10384.0002565735,2160.8979613986103,0.17225312823207004
08T,0,,,,,,,,,,,,
08V,1,19.0,19.0,19.0,19.0,19.0,-56.5334876904358,-0.0038985749831970205,0.523809523809524,14557.598090551,12183.1916075526,2374.4064829983104,0.163104275047921
08W,0,,,,,,,,,,,,
08X,1,13.0,13.0,13.0,13.0,13.0,-22.193903670556,-0.00230736708037266,0.5208333333333329,9640.907743937141,8575.60036775046,1065.3073761866901,0.11049865888994001
08Y,1,27.0,27.0,27.0,27.0,27.0,-85.9795130458735,-0.0062540545942271,0.529411764705882,13833.782918094199,10910.479474534499,2923.3034435596996,0.211316272697622
09A,1,24.0,24.0,24.0,24.0,24.0,-95.0503484769891,-0.00680244140245875,0.5135135135135129,14068.026057261899,10551.163163613299,3516.8628936485998,0.249989790986575
09C,0,,,,,,,,,,,,
09D,1,27.0,27.0,27.0,27.0,27.0,-234.85718825843497,-0.00753445483914171,0.529411764705882,31405.9496259416,23420.8052251548,7985.1444007868,0.25425578579515395
09E,1,35.0,35.0,35.0,35.0,35.0,-185.857395178264,-0.00453954816057218,0.538461538461538,41127.684335689904,36295.392061055,4832.29227463486,0.11749487851523599
09F,1,24.0,24.0,24.0,24.0,24.0,-261.40777403181,-0.00622242405863007,0.5135135135135129,42272.0087180892,32599.9210789123,9672.08763917697,0.22880596244384402
09G,1,26.0,26.0,26.0,26.0,26.0,-159.002864976318,-0.004633264963331,0.5142857142857139,34476.6743633069,28911.5740891358,5565.100274171129,0.16141638881776801
09H,0,,,,,,,,,,,,
09J,1,10.0,10.0,10.0,10.0,10.0,-78.9939006886731,-0.00265955625994553,0.509803921568627,29780.9039066425,25752.214971520098,4028.68893512233,0.135277590893531
09L,1,27.0,27.0,27.0,27.0,27.0,-85.7366099078583,-0.0034903548839409,0.529411764705882,24649.6026804705,21734.5579436033,2915.0447368671803,0.11825929913169501
09N,0,,,,,,,,,,,,
09P,1,31.0,31.0,31.0,31.0,31.0,-420.95221168342795,-0.008216196488453979,0.5333333333333329,51655.3904672658,39026.8241167629,12628.5663505028,0.24447722176266604
09W,1,26.0,26.0,26.0,26.0,26.0,-112.398966828946,-0.00300421597551096,0.5142857142857139,37526.1427672655,33592.178928252404,3933.9638390131104,0.104832619313188
09X,1,27.0,27.0,27.0,27.0,27.0,-124.596798465576,-0.005397132176693221,0.529411764705882,23210.3383342445,18974.0471864149,4236.291147829579,0.18251742334920398
09Y,1,26.0,26.0,26.0,26.0,26.0,-66.6357498933091,-0.00380606383719748,0.5142857142857139,17574.421416035802,15242.170169769899,2332.25124626582,0.13270714244611
10A,0,,,,,,,,,,,,
10C,0,,,,,,,,,,,,
10D,0,,,,,,,,,,,,
10E,0,,,,,,,,,,,,
10J,1,15.0,15.0,15.0,15.0,15.0,-117.164769797687,-0.00372314596241669,0.5217391304347829,31586.4574003868,26196.8779896932,5389.57941069361,0.17062943597554597
10K,1,27.0,27.0,27.0,27.0,27.0,-104.00080004033899,-0.0028037877591291,0.529411764705882,37196.965380441805,33660.9381790703,3536.0272013715203,0.0950622494390568
10L,0,,,,,,,,,,,,
10Q,1,15.0,15.0,15.0,15.0,15.0,-120.37563939018601,-0.00511571618744006,0.5217391304347829,23650.9303026314,18113.6508906828,5537.27941194856,0.234125226411601
10R,0,,,,,,,,,,,,
10V,1,27.0,27.0,27.0,27.0,27.0,-111.988673929608,-0.00305883740773722,0.529411764705882,36723.5044237818,32915.8895101751,3807.6149136066797,0.103683321440884
10X,1,27.0,27.0,27.0,27.0,27.0,-146.229692067119,-0.00492474957346065,0.529411764705882,29839.047547242404,24867.2380169603,4971.80953028204,0.166620919196917
11A,0,,,,,,,,,,,,
11E,0,,,,,,,,,,,,
11J,1,39.0,39.0,39.0,39.0,39.0,-217.444436743936,-0.00675319825758175,0.545454545454545,32416.1787919531,27632.4011835865,4783.777608366599,0.14757376676223496
11M,1,27.0,27.0,27.0,27.0,27.0,-188.010269441852,-0.0056921692370608895,0.529411764705882,33217.6447746397,26825.295613616698,6392.34916102296,0.19243836233396203
11N,1,27.0,27.0,27.0,27.0,27.0,-297.819457883585,-0.00617728080891036,0.529411764705882,48509.8834867679,38384.021918726,10125.861568041899,0.20873811355997
11X,1,27.0,27.0,27.0,27.0,27.0,-92.1510547649317,-0.00281998281567183,0.529411764705882,32770.0291796987,29636.893317691,3133.13586200768,0.0956097977461881
12D,1,27.0,27.0,27.0,27.0,27.0,-178.200043327238,-0.00478826158584715,0.529411764705882,37394.2209587156,31335.4194855895,6058.8014731261,0.16202507547396697
12F,0,,,,,,,,,,,,
13T,1,39.0,39.0,39.0,39.0,39.0,-314.346558324691,-0.00788190702701533,0.545454545454545,40196.389983509,33280.7657003658,6915.62428314319,0.172045904768573
14L,1,27.0,27.0,27.0,27.0,27.0,-157.37672283074,-0.00390874104309487,0.529411764705882,40420.1419189953,35069.3333427501,5350.80857624517,0.132379757274691
14Y,1,15.0,15.0,15.0,15.0,15.0,-53.240999733711796,-0.0025450316938798,0.5217391304347829,20972.8232044441,18523.737216693302,2449.08598775075,0.116774263716284
15A,1,27.0,27.0,27.0,27.0,27.0,-50.332546237129606,-0.00269093580417316,0.529411764705882,18754.8093156468,17043.5027435844,1711.30657206241,0.0912462794614871
15C,1,26.0,26.0,26.0,26.0,26.0,-135.134623444796,-0.00427726409494126,0.5142857142857139,31728.8404235192,26999.1286029514,4729.71182056786,0.14906664591063698
15D,1,15.0,15.0,15.0,15.0,15.0,-50.1009412087704,-0.0027270234023747198,0.5217391304347829,18422.125605589,16117.4823099856,2304.64329560344,0.125101920643959
15E,1,27.0,27.0,27.0,27.0,27.0,-112.393057331495,-0.00385035475530511,0.529411764705882,29302.705242627402,25481.341293356603,3821.3639492708203,0.130409937158696
15F,1,15.0,15.0,15.0,15.0,15.0,-124.533821793904,-0.0034515120300407103,0.5217391304347829,36205.480580781405,30476.9247782619,5728.5558025195705,0.158223443264012
15M,0,,,,,,,,,,,,
15N,1,26.0,26.0,26.0,26.0,26.0,-124.46230667634799,-0.00324794019465045,0.5142857142857139,38444.8435998247,34088.6628661525,4356.1807336721795,0.11330988308902999
99A,0,,,,,,,,,,,,
99C,1,39.0,39.0,39.0,39.0,39.0,-400.47063131254896,-0.00868291490831345,0.545454545454546,46522.1516038071,37711.797714931,8810.35388887609,0.189379759644545
99D,1,27.0,27.0,27.0,27.0,27.0,-232.786500283784,-0.00519493561423027,0.529411764705882,45043.0628097959,37128.3218001473,7914.74100964864,0.175714982861409
99E,0,,,,,,,,,,,,
99F,0,,,,,,,,,,,,
99G,0,,,,,,,,,,,,
99H,1,26.0,26.0,26.0,26.0,26.0,-70.6759111834539,-0.00396272298224645,0.5142857142857139,17905.864366216,15432.207474795101,2473.6568914208897,0.13814786266828197
99J,1,27.0,27.0,27.0,27.0,27.0,-132.568743621746,-0.00414370765463616,0.529411764705882,32125.352663457797,27618.015380318502,4507.33728313935,0.140304678686575
99K,0,,,,,,,,,,,,
99M,1,27.0,27.0,27.0,27.0,27.0,-156.845722506058,-0.00502030455133122,0.529411764705882,31399.118158840098,26066.3635936341,5332.75456520596,0.16983771767821398
99N,0,,,,,,,,,,,,
